source_id,ra,dec,pmra,pmdec,parallax,mag_g,mag_bp,mag_rp,rv,ra_err,dec_err,pmra_err,pmdec_err,parallax_err,rv_err,id_file,id_line
5312503356905409152,141.75314354706754,-51.9775685112182,-4.574297676167691,3.9336783334960197,0.280722169658673,17.939146,18.667387,17.057947,,0.112733185,0.09867488,0.23806623,0.20155175,0.12191202,,41144,34168
5312516967677466112,141.72024153251567,-51.90874240863813,-5.632447865165169,4.4416593694053885,0.30812824425746804,17.270235,17.762465,16.391867,,0.07376807,0.06543621,0.15700403,0.13128847,0.08365466,,41144,11592
5312515730726289920,141.66249913357842,-51.90019510473064,-5.182203307981392,4.685657358224369,0.3151099189998854,15.957886,16.578634,15.124823,,0.034998003,0.032720137,0.07432926,0.065640636,0.04019921,,41144,12405
5312515692051957248,141.6549216044301,-51.9126534653479,-4.823463864656577,4.105010029186545,0.31357129546244805,17.850914,18.499563,17.013056,,0.120660074,0.10551617,0.26225194,0.21566819,0.14032334,,41144,18625
5312515692051885824,141.66379687293755,-51.91988058786869,-5.1690225057008465,3.3647711271912937,0.2888288250235535,17.660519,18.289974,16.880611,,0.098353244,0.08400768,0.20817772,0.17533949,0.11015677,,41144,16174
5312503361220462080,141.7580427041522,-51.983169350562626,-4.9524590166438065,3.5889786777973387,0.2893793256970104,17.246572,17.91885,16.388136,,0.070416935,0.06362227,0.1512612,0.12497742,0.08158723,,41144,31658
5312515451533696256,141.6964441493186,-51.92394635084688,-5.140100711097956,4.066682986693017,0.2961453211576188,17.884205,18.566343,17.048355,,0.12500528,0.096951894,0.2514063,0.19622755,0.13490064,,41144,17068
5312509511613248256,141.42488129923285,-52.03163676545015,-4.254257790474636,3.8004697201328974,0.2178402154465134,15.158808,15.564452,14.565753,,0.02370911,0.023289809,0.05010022,0.04458471,0.02789918,,41144,30707
5312507003352603008,141.45735222432728,-52.08104012807166,-3.8899222246550518,4.268407611074898,0.22213554652849374,15.767674,16.887896,14.705168,,0.04009321,0.038006455,0.08603768,0.07777504,0.044254653,,41144,2879
5312512844507879168,141.36657729310625,-51.981005237241796,-4.375137931923084,4.3254826574416665,0.217314377184841,16.995249,17.666487,16.17039,,0.061505757,0.062107682,0.13415337,0.116551526,0.078285076,,41144,36241
5312509889570403712,141.4965690002275,-51.988426746603906,-4.726619925893335,4.167027034170746,0.2542749228272821,17.446436,18.079473,16.640455,,0.08236525,0.07396609,0.18144904,0.15408917,0.09196076,,41144,37798
5313262986310677760,141.23868416536527,-51.954787794219534,-3.8360235780171488,3.3493595856706517,0.2257436811621401,17.566149,18.151215,16.769747,,0.07856055,0.08700317,0.16936319,0.16398364,0.1034142,,41162,33362
5313262848871712896,141.17976975009128,-51.966108617092715,-4.2233662316803855,3.4614433237151285,0.2142918270433383,16.617693,17.065653,15.956957,,0.047323763,0.05383184,0.10064946,0.10066133,0.061224505,,41162,35995
5313262642695290240,141.20361657504662,-51.96685238465825,-3.9593918778784793,3.795509093408468,0.22181003614956454,17.71893,18.207827,16.601906,,0.088362165,0.093542345,0.1867598,0.17605576,0.105998725,,41162,17428
5312512359159534720,141.245218424588,-51.96686566319456,-3.8353754630528436,3.582604894794792,0.21565043176008525,17.932892,18.59509,16.930206,,0.09959537,0.11546429,0.21222012,0.22161473,0.13054362,,41144,10661
5313263158109374592,141.2252962544274,-51.92685405211525,-4.657027140693373,3.497573126555604,0.2389584338424758,16.672146,17.848364,15.533025,,0.056488384,0.06364224,0.12268891,0.13210006,0.07289794,,41162,7392
5312512397831115136,141.27766661251567,-51.96978771394471,-4.404640258032637,3.59726722396905,0.23416791033321874,15.426323,15.909455,14.749549,,0.029385427,0.029775945,0.064732455,0.05581465,0.037636492,,41144,20396
5312512157313106048,141.321386291737,-51.97196012974062,-3.6334593547303378,3.464785528306916,0.2377386958069344,17.687733,19.013939,16.447859,,0.09077174,0.09024245,0.19613437,0.16329764,0.11850488,,41144,35057
5313265696422374912,141.20660894436898,-51.87572831823249,-4.142461432163654,3.501090845795634,0.2486930403043083,17.681244,18.93742,16.464935,,0.09006112,0.09989122,0.18605287,0.18174131,0.11852959,,41162,16388
5313264704297614208,141.26203929012718,-51.9015628891083,-4.706579062291142,3.445460734074804,0.24126553136121,17.63575,,,,0.08330134,0.08509765,0.17176507,0.15095131,0.10436501,,41162,4601
5313265009224494976,141.26761343014505,-51.86901723002418,-4.907203870961123,2.6541384289240697,0.2993759615016388,17.627975,18.291632,16.788313,,0.091134965,0.09876433,0.1878133,0.16100134,0.118873484,,41162,20513
5313264974864736896,141.22981186393363,-51.877923126579475,-3.386556453617581,3.727454315217966,0.2571233164295544,17.554714,18.136782,16.759058,,0.08362616,0.093368806,0.17053063,0.17782779,0.11430707,,41162,23596
5313263329908061312,141.18490739893664,-51.928486699889326,-4.083338881709826,3.484031811810393,0.287884209205023,16.189344,16.708017,15.489555,,0.038743697,0.041627325,0.079655714,0.07383986,0.047605414,,41162,33442
5312512462236180736,141.25316380353894,-51.95715869848051,-4.356386130717059,3.878940784629525,0.2789136325268757,17.512165,18.268795,16.602226,,0.07749714,0.08537557,0.17124914,0.15115763,0.1048062,,41144,31593
5313264459468684800,141.15064011852797,-51.86865119974337,-4.706825204222093,3.3700316081262174,0.2915632071205229,17.20559,17.842487,16.40704,,0.06719709,0.07261205,0.13802466,0.12831593,0.0853019,,41162,32937
5313264188901527424,141.17330405462943,-51.89650476255017,-4.160882763300946,3.37294754907703,0.28670685416122965,16.886194,17.357641,16.159508,,0.056975298,0.074028105,0.13590139,0.19025648,0.07607282,,41162,7081
5313265975607653120,141.17724935529856,-51.843278933278896,-4.152358503285091,3.4049010326448483,0.2935512129289469,16.42122,16.999525,15.663398,,0.0443948,0.051759403,0.094969146,0.086720385,0.060789682,,41162,31599
5313264218950455552,141.19464579476352,-51.89356664306883,-4.185799147619313,3.493975981310956,0.22220398995568724,16.957699,17.509857,16.212883,,0.059536763,0.073921494,0.12895249,0.1293366,0.082766324,,41162,7117
5313263123749639296,141.25537070989142,-51.933430732103545,-4.516079010921632,3.5640299799622306,0.21376066384451686,15.512689,15.956944,14.872591,,0.028538492,0.029699536,0.05790114,0.0577466,0.03629966,,41162,6753
