source_id,ra,dec,pmra,pmdec,parallax,mag_g,mag_bp,mag_rp,rv,ra_err,dec_err,pmra_err,pmdec_err,parallax_err,rv_err,id_file,id_line
5594593922682739200,119.46144331210522,-31.538254430480947,-2.438167594389374,2.3554350651095697,0.20914319137938786,17.886105,18.622385,17.045973,,0.08005651,0.10072385,0.17822136,0.18583663,0.12905404,,44606,571
5594594781676223872,119.49656957201552,-31.51849100460425,-2.549149231015714,2.704565882871414,0.23714392426185485,16.294268,16.820587,15.5740595,,0.034844965,0.04301349,0.083478615,0.07834972,0.05425812,,44606,1246
5594595610619750400,119.48115736866473,-31.503456303420936,-2.311267286568559,2.7583455367288003,0.21498807254548008,15.03325,15.636147,14.272587,,0.02000285,0.025733491,0.046211764,0.047135055,0.031443205,,44606,2201
5594593304207459328,119.48208835363684,-31.529951698795987,-2.2481864754580605,2.86410724266636,0.23280802427725145,17.297163,17.848482,16.552511,,0.059513923,0.07550344,0.13674755,0.13699745,0.09571883,,44606,3246
5594594025761973888,119.46221000742422,-31.522797456081015,-2.4449185028142857,2.8312549985052216,0.2759441226385228,17.413355,18.093569,16.582424,,0.062696524,0.07916284,0.14606777,0.15745759,0.099212185,,44606,4987
5594594747316487296,119.52030620666491,-31.516772778925894,-2.146232965105176,2.7317179901408832,0.2263472717720341,17.700964,18.350998,16.899881,,0.086425886,0.106197685,0.20167929,0.18907723,0.1334283,,44606,6857
5594594850395723008,119.5354943868901,-31.50208613092988,-2.12417171258078,2.6293035642117752,0.256209107842304,16.921074,17.49298,16.177994,,0.046390485,0.060347103,0.11108471,0.1254185,0.07337377,,44606,11316
5594594304949707136,119.44158029676996,-31.51057364016827,-1.8628462630688636,3.1500486324411066,0.2657492763828273,17.582848,18.306158,16.73448,,0.069058485,0.09628043,0.15646172,0.1669254,0.11073943,,44606,11398
5594594304949706880,119.4457640876124,-31.51505109696095,-1.8816657410339956,2.1341179699114834,0.2149456847452762,17.290672,17.901888,16.51617,,0.056601834,0.075387664,0.13054627,0.14085273,0.08842033,,44606,11476
5594588017118083456,119.56371461267004,-31.689478799790365,-2.0107278190460534,2.827774924060341,0.21507848921680048,17.584196,18.154615,16.859787,,0.06542247,0.08108508,0.14917915,0.15670027,0.105783716,,44606,11663
5594594030071795840,119.46749849329984,-31.52898160091333,-2.1561133141118622,2.8590870333652587,0.25931531566611943,16.72485,17.242277,15.916151,,0.04602813,0.05661721,0.10459078,0.102358304,0.06992175,,44606,12391
5594593308517284224,119.48315373605554,-31.5260738577475,-2.4795738336926423,2.7934148732668853,0.28950770845898666,15.208745,15.66535,14.567843,,0.021200437,0.026514063,0.04915061,0.04822496,0.03287417,,44606,13797
5594594785986029696,119.49208895639015,-31.519938969807374,-2.4095246775508112,2.6157406518934607,0.2084175267593653,16.297594,16.841547,15.580439,,0.034407705,0.04305642,0.08041728,0.07897312,0.05403091,,44606,14849
5594595541900270208,119.48839898661598,-31.50471267735493,-2.290092534227736,2.7491553704419824,0.2693166741269476,17.422571,18.19071,16.507128,,0.06383865,0.0783808,0.14857194,0.14538772,0.09885237,,44606,15703
5594594133144948096,119.47261382850323,-31.50493388170248,-2.544975556319034,3.491942392028717,0.27310448846434954,16.407413,17.081932,15.582083,,0.0392753,0.048260536,0.091281995,0.09771862,0.05910949,,44606,16667
5594575785050944512,119.5925192545992,-31.759817350345532,-2.11008286622922,2.4560630746763032,0.21716918291417728,17.114527,17.771894,16.325953,,0.050628502,0.061097305,0.11883223,0.14382891,0.079995185,,44606,19440
5594596469613186176,119.51708309936058,-31.421325534312324,-2.165649956658697,2.820976558094277,0.2544095770885685,17.626928,18.308033,16.786928,,0.06749319,0.08083392,0.15536116,0.17359532,0.098500036,,44606,22251
5594594094480361216,119.4517773515617,-31.51826698224539,-2.3169583684360155,2.663256245575413,0.2347235671876986,13.481523,13.909454,12.864665,,0.013176543,0.016219582,0.029362656,0.0297587,0.019524481,,44606,22481
5594595984267126784,119.49891121981628,-31.46004366323985,-2.559591444616196,2.4446667762479253,0.26272094189773154,17.75532,18.5557,16.856903,,0.07273854,0.08915708,0.17296138,0.18529466,0.11031184,,44606,22566
5594595335741821952,119.54478693602428,-31.468193666938852,-2.3724241370225903,2.4717136944349334,0.23888011548225846,16.260729,16.875412,15.486344,,0.03172465,0.037153758,0.07576937,0.07367608,0.045236286,,44606,22763
5594594682906799488,119.54937895350169,-31.514152316924015,-2.409510804062489,2.6667765558772465,0.2444952929443155,16.25119,16.763157,15.555105,,0.03449363,0.0415316,0.08353975,0.07744934,0.054861274,,44606,24194
5594596435253457152,119.49115478002851,-31.433472533923357,-2.23600466048908,2.665905362147373,0.2317169324066955,16.488363,17.154926,15.667199,,0.03834763,0.045710005,0.08844094,0.086142726,0.05584523,,44606,24528
5594595679339214464,119.51359287748123,-31.480912105331637,-2.3882023526074847,2.7805623099624297,0.2538009539247571,16.235838,17.156454,15.2653265,,0.03402583,0.0418222,0.07874628,0.0782635,0.051059052,,44606,24840
5594595782418429952,119.49976525028927,-31.46462682803729,-2.576915582690756,2.603320865597936,0.2063660004596756,17.232569,18.079487,16.30245,,0.05387491,0.06657049,0.13184313,0.12796225,0.08118528,,44606,25003
5594595748058693888,119.49552641853184,-31.475262797219077,-2.4747150092706143,2.5588105940519434,0.2704886167634007,17.246466,18.078508,16.321207,,0.057903014,0.06668424,0.13738672,0.12808934,0.08325538,,44606,25614
5594595748058694528,119.49107547603491,-31.47327658645907,-2.425999662215861,2.528952188186419,0.2406686639182345,15.930179,16.57923,15.122155,,0.029646402,0.035833843,0.071468726,0.075667866,0.043548547,,44606,25697
5594594820345760128,119.50905350934359,-31.510487009612238,-2.365283502779819,2.60367314465891,0.2302899192711245,15.51031,15.973156,14.859337,,0.023743212,0.030004524,0.055468787,0.055729896,0.037085313,,44606,26002
5594595954217125888,119.48750978528165,-31.47379144685237,-2.1806256924379,2.9001072547245217,0.2453730194584676,17.675406,18.512241,16.73877,,0.072762415,0.08603504,0.17395578,0.17943744,0.106798366,,44606,26029
5594594442388640640,119.52455208245392,-31.55368537549385,-2.1342497413785235,2.4430229534525894,0.2661605810494228,17.494055,18.244604,16.61042,,0.06447859,0.07788853,0.14402299,0.14328638,0.10594917,,44606,26614
5594594785986023936,119.50563439587916,-31.520703453699088,-2.1710100800190943,2.666638138799606,0.2841699294668505,17.27414,17.87553,16.497147,,0.064219765,0.078817666,0.15483901,0.15175335,0.09946734,,44606,26687
5594595610619749760,119.47482457510895,-31.493172884167894,-2.1685454167098213,2.6682845464077047,0.23033913554427135,16.418602,17.02157,15.601416,,0.03615981,0.043651868,0.085996605,0.08222145,0.054204725,,44606,26798
5594595541900270592,119.48843206843149,-31.50637374051153,-2.095776632463382,3.1685146661676304,0.2149149430634422,15.928557,17.106743,14.843459,,0.030183107,0.03681144,0.06843675,0.06881299,0.044576276,,44606,27261
5594594785986027008,119.49972590337977,-31.524523060528132,-2.4326112927820955,2.7388565217483944,0.24179416703757395,14.699727,15.293108,13.945839,,0.018049141,0.0233562,0.04136308,0.043611433,0.02818442,,44606,27433
5594595610619748096,119.48221969286548,-31.49950641778061,-2.2482264533019505,2.3687835113937012,0.2390691755304193,17.16471,17.804712,16.384909,,0.05230784,0.06575352,0.120501846,0.12571551,0.07943719,,44606,27445
5594595816778178944,119.4729285708682,-31.48817506681277,-2.3743077901499863,2.6588526531662615,0.2112251105573546,15.388432,15.928595,14.667687,,0.02201648,0.027316192,0.05100135,0.05092612,0.033016536,,44606,27531
5594594785986027520,119.49488074920582,-31.51856213721487,-2.2102849757083054,2.669246996213975,0.2370430668656737,16.183123,16.7554,15.43949,,0.033005446,0.04055962,0.0786224,0.07409514,0.051185913,,44606,27557
5594595541900272256,119.48898788752888,-31.512314194551077,-2.536469453413868,2.5279585359202783,0.2752430389191868,16.532854,17.151548,15.752136,,0.040039167,0.047703337,0.09434836,0.08786418,0.060327638,,44606,27599
5594595885497656832,119.46337025728405,-31.475811082508265,-2.2786047859699607,2.775900570652957,0.26603700442127737,17.791227,18.456202,16.965324,,0.0737011,0.091239594,0.173236,0.17413823,0.11270164,,44606,27855
5594595541900274176,119.4848042261198,-31.510703801311607,-2.4743534830420297,2.6767266380400043,0.21324110947168534,15.866855,16.457872,15.103686,,0.029387057,0.035141386,0.06927707,0.0640309,0.04427014,,44606,28129
5594594064431525504,119.48680302381365,-31.519410930309647,-2.402289571182504,2.7589989131449197,0.24322457867416214,14.344067,14.790447,13.7126255,,0.016152406,0.020311201,0.03709977,0.036747143,0.025326958,,44606,28256
5594593239797804544,119.49940328547865,-31.537798514787923,-2.3053350102686103,2.620155244357124,0.26626487603938204,16.933115,17.564829,16.139477,,0.0505488,0.060317434,0.115484476,0.109969266,0.078783706,,44606,28268
5594594304949705856,119.44745224819937,-31.51121582323336,-2.285093342733991,2.532166058104041,0.2525321678349716,17.36897,17.939774,16.626432,,0.061850794,0.08522452,0.13477834,0.16459182,0.09610981,,44606,28328
5594593308517282176,119.48827210646387,-31.526659906683946,-2.3409493978281013,2.7537277565174376,0.23902861982114454,13.7393465,14.25245,13.036167,,0.015100523,0.0193702,0.036578376,0.034199387,0.02328665,,44606,28589
