0026 PTB_7                  0.2534  68.318 119.577   5.679  0.020  0.075  0.165  -0.22  -1.11   0.30  999.99   99.99     0     4     53    172   3233.  1.405 13.000  0.675  0.450 -0.015  6.550  0.000  -1    5.37    1.41   13.70    2.35    0.93    0.30 BIEM irc   99.999  9.990   0
0027 BDSB_48           rc   0.2575  61.260 118.614  -1.313  0.015  0.035  0.070  -2.41  -3.25   0.72  999.99   99.99     0     4      9     21   8000.  1.549 15.014  0.744  0.496  0.015  7.950  0.000  -1    5.99    3.61   15.61    6.07    0.10    0.07 BOPN irc   99.999  9.990   0
0028 Juchert-Saloran_1      0.2721  59.962 118.541  -2.613  0.025  0.060  0.125  -2.38  -1.24   0.34  999.99   99.99     0    16     38    125   5326.  0.833 13.900  0.400  0.267  0.000  9.300  0.000  -1    1.57    0.31   17.91    3.43    2.12    0.45 DIAS       99.999  9.990   0
0029 Berkeley_60            0.2950  60.934 118.839  -1.673  0.015  0.040  0.090  -0.50  -3.78   0.43  999.99   99.99     0    11     25     91   3299.  0.958 12.900  0.460  0.307  0.040  8.400  0.000  -1    0.75    0.16   10.92    2.56   11.19    2.24 DIAS        0.070  9.990   0
0031 ASCC_2                 0.3250  55.645 118.397  -6.948  0.055  0.100  0.220  -1.56  -1.34   0.33  999.99   99.99     0    20     54    221   2301.  0.500 11.970  0.240  0.160  0.000  8.870  0.080   3    1.15    0.47   13.58    6.20    1.94    0.66 COCD       99.999  9.990   0
0032 FSR_0486               0.3402  59.332 118.973  -3.304  0.015  0.035  0.060  -2.35  -1.46   0.65  999.99   99.99     0     5     14     27   1850.  0.550 11.513  0.264  0.176  0.000  8.900  0.000  -1    0.42    0.12    2.96    0.76   20.79    4.90 DIAS irc   99.999  9.990   0
0033 FSR_0479               0.3541  54.827 118.546  -7.791  0.012  0.050  0.090  -3.43  -1.52   0.60  999.99   99.99     0     3     15     40   2038.  0.479 11.700  0.230  0.153  0.010  8.800  0.000   1    0.72    0.21    6.69    1.97    5.82    1.39 FPOS       99.999  9.990   0
0034 Mayer_1                0.3676  61.741 119.456  -0.935  0.015  0.060  0.115  -3.87  -3.27   0.43  -20.90    2.00     1     4     35    115   1430.  0.500 10.937  0.240  0.160 -0.030  7.740  0.000  -1    0.57    0.24    6.89    3.18    5.44    1.87 COCD       99.999  9.990   0
0035 King_1                 0.3677  64.384 119.758   1.690  0.025  0.100  0.220  -2.68  -4.31   0.17  999.99   99.99     0    27    205    596   1659.  0.625 11.300  0.300  0.200 -0.030  9.700  0.000  -1    1.33    0.18   10.72    1.57   19.77    1.53 DIAS       99.999  9.990   0
0036 FSR_0477               0.3830  51.883 118.463 -10.745  0.015  0.060  0.120  -3.76   2.02   0.53  999.99   99.99     0     4     19     52   1908.  0.458 11.550  0.220  0.147  0.000  9.040  0.000  -1    0.24    0.11    7.38    3.45   20.70   11.93 FPOS       99.999  9.990   0
